"jobName","logFile","filePath"," realFilePath","datasetFile","realDatasetFilePath","recordType"
"Jx_ONIDE_03_EXTR_PENEF","DOCprdJx_ONIDE_03_EXTR_PENEFlog.txt","NaN","NaN","#PAR_PATH_DATASET#DS_PENEF_EXTRANA_ONIDE.ds","/export/home/exp/applications/doc/onide/datastage/dataset/DS_PENEF_EXTRANA_ONIDE.ds","CustomInput"
"PIVOTRegroupePartition","DOCprdPIVOTRegroupePartitionlog.txt","\(2)\(2)0\(1)\(3)file \(2)#ParRepTmp##ParFileTmp#\(2)0"," ","NaN","NaN","CustomOutput"
"PIVOTRegroupePartition","DOCprdPIVOTRegroupePartitionlog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp##ParFileSommePartition#\(2)0"," ","NaN","NaN","CustomInput"
"PIVOTRegroupePartition","DOCprdPIVOTRegroupePartitionlog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp##ParFileTypeTrc#\(2)0"," ","NaN","NaN","CustomInput"
"Jx_SqlFile_To_Vertica","MGTprdSeqLABISProductionDMPENEFCAVerticaCopyDatalog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp#penel_vertica.tmp\(2)0"," ","NaN","NaN","CustomInput"
"PIVOTRegroupePartition","DOCprdPIVOTLanceEspaceOraclelog.txt","\(2)\(2)0\(1)\(3)file \(2)#ParRepTmp##ParFileTmp#\(2)0"," ","NaN","NaN","CustomOutput"
"PIVOTRegroupePartition","DOCprdPIVOTLanceEspaceOraclelog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp##ParFileSommePartition#\(2)0"," ","NaN","NaN","CustomInput"
"PIVOTRegroupePartition","DOCprdPIVOTLanceEspaceOraclelog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp##ParFileTypeTrc#\(2)0"," ","NaN","NaN","CustomInput"
"PIVOTVerifPartition","DOCprdPIVOTLanceEspaceOraclelog.txt","\(2)\(2)0\(1)\(3)file \(2)#ParRepTmp##ParFileJrnlPartition#\(2)0"," ","NaN","NaN","CustomOutput"
"PIVOTVerifPartition","DOCprdPIVOTLanceEspaceOraclelog.txt","\(2)\(2)0\(1)\(3)file \(2)#ParRepTmp##ParFileTypeTrc#\(2)0"," ","NaN","NaN","CustomOutput"
"PIVOTVerifPartition","DOCprdPIVOTLanceEspaceOraclelog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp##ParFileStatutPartition#\(2)0"," ","NaN","NaN","CustomInput"
"PIVOTVerifPartition","DOCprdPIVOTVerifPartitionlog.txt","\(2)\(2)0\(1)\(3)file \(2)#ParRepTmp##ParFileJrnlPartition#\(2)0"," ","NaN","NaN","CustomOutput"
"PIVOTVerifPartition","DOCprdPIVOTVerifPartitionlog.txt","\(2)\(2)0\(1)\(3)file \(2)#ParRepTmp##ParFileTypeTrc#\(2)0"," ","NaN","NaN","CustomOutput"
"PIVOTVerifPartition","DOCprdPIVOTVerifPartitionlog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp##ParFileStatutPartition#\(2)0"," ","NaN","NaN","CustomInput"
"Jx_ONIDE_01_FMT_ROUTAGE_EDIT_CATEL","DOCprdJx_ONIDE_01_FMT_ROUTAGE_EDIT_CATELlog.txt","\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_SOURCES##PAR_NOM_FIC_CATEL#\(2)0","/export/home/exp/applications/doc/onide/datastage/source/TMP_FF_PENEF_EXTRANA_ONIDE_20190702150043.csvCORPSPAR_NOM_FIC_CATEL","NaN","NaN","CustomInput"
"Jx_ONIDE_01_FMT_ROUTAGE_EDIT_CATEL","DOCprdJx_ONIDE_01_FMT_ROUTAGE_EDIT_CATELlog.txt","NaN","NaN","#PAR_PATH_DATASET#DS_PENEF_EXTRANA_ONIDE.ds","/export/home/exp/applications/doc/onide/datastage/dataset/DS_PENEF_EXTRANA_ONIDE.ds","CustomOutput"
"Jx_SqlFile_To_Vertica","MGTprdSeqLABISProductionDMOctVerticaCopyDatalog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp#penel_vertica.tmp\(2)0"," ","NaN","NaN","CustomInput"
"Jx_SqlFile_To_Vertica","MGTprdSeqLABISProductionDMVRefSocietaireMoveDataFromTmplog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp#penel_vertica.tmp\(2)0"," ","NaN","NaN","CustomInput"
"Jx_SqlFile_To_Vertica","MGTprdSeqLABISProductionDMVerticaMoveDataFromTmplog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp#penel_vertica.tmp\(2)0"," ","NaN","NaN","CustomInput"
"Jx_SqlFile_To_Vertica","MGTprdSeqLABISProductionDMVerticaCopyDatalog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp#penel_vertica.tmp\(2)0"," ","NaN","NaN","CustomInput"
"Jx_ONIDE_01_FMT_ROUTAGE_EDIT_CATEL","DOCprdJS_ONIDE_00_FORMAT_FIC_CATELlog.txt","\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_SOURCES##PAR_NOM_FIC_CATEL#\(2)0","/export/home/exp/applications/doc/onide/datastage/source/TMP_FF_PENEF_EXTRANA_ONIDE_20190702150043.csvCORPSPAR_NOM_FIC_CATEL","NaN","NaN","CustomInput"
"Jx_ONIDE_01_FMT_ROUTAGE_EDIT_CATEL","DOCprdJS_ONIDE_00_FORMAT_FIC_CATELlog.txt","NaN","NaN","#PAR_PATH_DATASET#DS_PENEF_EXTRANA_ONIDE.ds","/export/home/exp/applications/doc/onide/datastage/dataset/DS_PENEF_EXTRANA_ONIDE.ds","CustomOutput"
"PIVOTListeComplete","DOCprdPIVOTListeCompletelog.txt","\(2)\(2)0\(1)\(3)file \(2)#ParRepTmp##ParFileStatutPartition#\(2)0"," ","NaN","NaN","CustomOutput"
"PIVOTListeComplete","DOCprdPIVOTListeCompletelog.txt","\(2)\(2)0\(1)\(3)file \(2)#ParRepTmp##ParFileListeFichier#\(2)0"," ","NaN","NaN","CustomOutput"
"PIVOTListeComplete","DOCprdPIVOTListeCompletelog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp##ParFileListeFichierFinal#\(2)0"," ","NaN","NaN","CustomInput"
"PIVOTListeComplete","DOCprdBatch__PIVOTChrgLigBrutlog.txt","\(2)\(2)0\(1)\(3)file \(2)#ParRepTmp##ParFileStatutPartition#\(2)0"," ","NaN","NaN","CustomOutput"
"PIVOTListeComplete","DOCprdBatch__PIVOTChrgLigBrutlog.txt","\(2)\(2)0\(1)\(3)file \(2)#ParRepTmp##ParFileListeFichier#\(2)0"," ","NaN","NaN","CustomOutput"
"PIVOTListeComplete","DOCprdBatch__PIVOTChrgLigBrutlog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp##ParFileListeFichierFinal#\(2)0"," ","NaN","NaN","CustomInput"
"Jx_SqlFile_To_Vertica","MGTprdSeqLABISProductionDMOctVerticaMoveDataFromTmplog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp#penel_vertica.tmp\(2)0"," ","NaN","NaN","CustomInput"
"Jx_SqlFile_To_Vertica","MGTprdSeqLABISProductionDMColVerticaCopyDatalog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp#penel_vertica.tmp\(2)0"," ","NaN","NaN","CustomInput"
"Jx_SqlFile_To_Vertica","MGTprdSeqLABISProductionDMPENEFNSVerticaCopyDatalog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp#penel_vertica.tmp\(2)0"," ","NaN","NaN","CustomInput"
"Jx_ONIDE_03_EXTR_PENEF","DOCprdJS_ONIDE_00_INITPARAMlog.txt","NaN","NaN","#PAR_PATH_DATASET#DS_PENEF_EXTRANA_ONIDE.ds","/export/home/exp/applications/doc/onide/datastage/dataset/DS_PENEF_EXTRANA_ONIDE.ds","CustomInput"
"Jx_SqlFile_To_Vertica","MGTprdSeqLABISProductionDMPENEFVALIDVerticaCopyDatalog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp#penel_vertica.tmp\(2)0"," ","NaN","NaN","CustomInput"
"Jx_SqlFile_To_Vertica","MGTprdSeqLABISProductionDMVRefSocietaireCopyDatalog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp#penel_vertica.tmp\(2)0"," ","NaN","NaN","CustomInput"
"Jx_SqlFile_To_Vertica","MGTprdSeqLABISProductionDMCPTATTMCPVerticaCopyDatalog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp#penel_vertica.tmp\(2)0"," ","NaN","NaN","CustomInput"
"Jx_SqlFile_To_Vertica","MGTprdSeqLABISProductionDMColVerticaMoveDataFromTmplog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp#penel_vertica.tmp\(2)0"," ","NaN","NaN","CustomInput"
"Jx_SqlFile_To_Vertica","MGTprdSeqLABISProductionDMPENEFVALIDVerticaMoveDataFromTmplog.txt","\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp#penel_vertica.tmp\(2)0"," ","NaN","NaN","CustomInput"